img_path,upscale_img_path,label
./train/TRAIN_00000.jpg,./upscale_train/TRAIN_00000.png,Ruddy Shelduck
./train/TRAIN_00001.jpg,./upscale_train/TRAIN_00001.png,Gray Wagtail
./train/TRAIN_00002.jpg,./upscale_train/TRAIN_00002.png,Indian Peacock
./train/TRAIN_00003.jpg,./upscale_train/TRAIN_00003.png,Common Kingfisher
./train/TRAIN_00004.jpg,./upscale_train/TRAIN_00004.png,Common Kingfisher
./train/TRAIN_00005.jpg,./upscale_train/TRAIN_00005.png,Common Rosefinch
./train/TRAIN_00006.jpg,./upscale_train/TRAIN_00006.png,Jungle Babbler
./train/TRAIN_00007.jpg,./upscale_train/TRAIN_00007.png,Common Tailorbird
./train/TRAIN_00008.jpg,./upscale_train/TRAIN_00008.png,Indian Peacock
./train/TRAIN_00009.jpg,./upscale_train/TRAIN_00009.png,Indian Peacock
./train/TRAIN_00010.jpg,./upscale_train/TRAIN_00010.png,White-Breasted Waterhen
./train/TRAIN_00011.jpg,./upscale_train/TRAIN_00011.png,Sarus Crane
./train/TRAIN_00012.jpg,./upscale_train/TRAIN_00012.png,Indian Peacock
./train/TRAIN_00013.jpg,./upscale_train/TRAIN_00013.png,Common Myna
./train/TRAIN_00014.jpg,./upscale_train/TRAIN_00014.png,White-Breasted Waterhen
./train/TRAIN_00015.jpg,./upscale_train/TRAIN_00015.png,Common Tailorbird
./train/TRAIN_00016.jpg,./upscale_train/TRAIN_00016.png,Gray Wagtail
./train/TRAIN_00017.jpg,./upscale_train/TRAIN_00017.png,Gray Wagtail
./train/TRAIN_00018.jpg,./upscale_train/TRAIN_00018.png,Forest Wagtail
./train/TRAIN_00019.jpg,./upscale_train/TRAIN_00019.png,White-Breasted Waterhen
./train/TRAIN_00020.jpg,./upscale_train/TRAIN_00020.png,Indian Roller
./train/TRAIN_00021.jpg,./upscale_train/TRAIN_00021.png,Northern Lapwing
./train/TRAIN_00022.jpg,./upscale_train/TRAIN_00022.png,Indian Grey Hornbill
./train/TRAIN_00023.jpg,./upscale_train/TRAIN_00023.png,Hoopoe
./train/TRAIN_00024.jpg,./upscale_train/TRAIN_00024.png,Forest Wagtail
./train/TRAIN_00025.jpg,./upscale_train/TRAIN_00025.png,Indian Pitta
./train/TRAIN_00026.jpg,./upscale_train/TRAIN_00026.png,Red-Wattled Lapwing
./train/TRAIN_00027.jpg,./upscale_train/TRAIN_00027.png,White-Breasted Waterhen
./train/TRAIN_00028.jpg,./upscale_train/TRAIN_00028.png,Northern Lapwing
./train/TRAIN_00029.jpg,./upscale_train/TRAIN_00029.png,Cattle Egret
./train/TRAIN_00030.jpg,./upscale_train/TRAIN_00030.png,Hoopoe
./train/TRAIN_00031.jpg,./upscale_train/TRAIN_00031.png,Jungle Babbler
./train/TRAIN_00032.jpg,./upscale_train/TRAIN_00032.png,Common Kingfisher
./train/TRAIN_00033.jpg,./upscale_train/TRAIN_00033.png,White-Breasted Kingfisher
./train/TRAIN_00034.jpg,./upscale_train/TRAIN_00034.png,Common Kingfisher
./train/TRAIN_00035.jpg,./upscale_train/TRAIN_00035.png,Hoopoe
./train/TRAIN_00036.jpg,./upscale_train/TRAIN_00036.png,Rufous Treepie
./train/TRAIN_00037.jpg,./upscale_train/TRAIN_00037.png,White-Breasted Waterhen
./train/TRAIN_00038.jpg,./upscale_train/TRAIN_00038.png,Common Myna
./train/TRAIN_00039.jpg,./upscale_train/TRAIN_00039.png,White Wagtail
./train/TRAIN_00040.jpg,./upscale_train/TRAIN_00040.png,White-Breasted Waterhen
./train/TRAIN_00041.jpg,./upscale_train/TRAIN_00041.png,Common Rosefinch
./train/TRAIN_00042.jpg,./upscale_train/TRAIN_00042.png,White Wagtail
./train/TRAIN_00043.jpg,./upscale_train/TRAIN_00043.png,Red-Wattled Lapwing
./train/TRAIN_00044.jpg,./upscale_train/TRAIN_00044.png,Northern Lapwing
./train/TRAIN_00045.jpg,./upscale_train/TRAIN_00045.png,Ruddy Shelduck
